continent,country,competition,competition_id,url,crest,top,order
South America,Argentina,Torneo Federal A,a08z7wsz0uqx90wsj33g65fcd,https://www.scoresway.com/en_GB/soccer/torneo-federal-a-2026/1q9caek968o8ubc43inhg6uxg/fixtures,https://www.scoresway.com/images/flags/ar.svg,False,30
South America,Argentina,Prim B Metro,66nxwll8fur0rtp9q7wqaki1l,https://www.scoresway.com/en_GB/soccer/prim-b-metro-2026/epr9s9zih7yd5dygat10o64us/fixtures,https://www.scoresway.com/images/flags/ar.svg,False,40
South America,Argentina,Torneo Proyección,2f3fydvyjz2svhlc1eo3qflwd,https://www.scoresway.com/en_GB/soccer/torneo-proyección-2026/3trr1fkbng6fnagct7101bpck/fixtures,https://www.scoresway.com/images/flags/ar.svg,False,500
