continent,country,competition,competition_id,season,season_url,results_url,file_path,has_squads
South America,Argentina,Torneo Federal A,a08z7wsz0uqx90wsj33g65fcd,2026,https://www.scoresway.com/en_GB/soccer/torneo-federal-a-2026/1q9caek968o8ubc43inhg6uxg/fixtures,https://www.scoresway.com/en_GB/soccer/torneo-federal-a-2026/1q9caek968o8ubc43inhg6uxg/results,data\south_america\argentina\torneo_federal_a\a08z7wsz0uqx90wsj33g65fcd\2026\squads.json,True
South America,Argentina,Prim B Metro,66nxwll8fur0rtp9q7wqaki1l,2026,https://www.scoresway.com/en_GB/soccer/prim-b-metro-2026/epr9s9zih7yd5dygat10o64us/fixtures,https://www.scoresway.com/en_GB/soccer/prim-b-metro-2026/epr9s9zih7yd5dygat10o64us/results,data\south_america\argentina\prim_b_metro\66nxwll8fur0rtp9q7wqaki1l\2026\squads.json,True
South America,Argentina,Torneo Proyección,2f3fydvyjz2svhlc1eo3qflwd,2026,https://www.scoresway.com/en_GB/soccer/torneo-proyección-2026/3trr1fkbng6fnagct7101bpck/fixtures,https://www.scoresway.com/en_GB/soccer/torneo-proyección-2026/3trr1fkbng6fnagct7101bpck/results,data\south_america\argentina\torneo_proyeccion\2f3fydvyjz2svhlc1eo3qflwd\2026\squads.json,True
