player_id,player_name,liga,rating_promedio,partidos_total
1631569,Kauê Muniz Nunes,Paulista A2,6.483333333333333,6
2443995,Bernardo,Carioca,6.4799999999999995,5
1906069,Edwin Alexander Martínez González,Colombia 2 Div,6.4750000000000005,8
1913838,Yeison Alejandro Castillo Caicedo,Colombia 2 Div,6.475,4
2442978,Adriano,Carioca,6.475,4
2452184,Johan Parra,Colombia 2 Div,6.471428571428571,7
2165058,Johan sebastian Alegria lopez,Colombia 2 Div,6.459999999999999,5
1831288,Edmilson Herazo,Colombia 2 Div,6.457142857142857,7
1906108,Jhonier David Zárante Bello,Colombia 2 Div,6.433333333333334,6
1587824,Fubá,Carioca,6.428571428571429,7
1902548,Maicol  Sequeda Arroyo,Colombia 2 Div,6.4,1
2452200,Javier Eder Torres,Colombia 2 Div,6.4,4
1467773,Gustavo Lacerda,Paulista A2,6.3999999999999995,7
2426302,Glaucon,Paulista A2,6.375,4
2420828,Fabio  Santos Nascimento,Paulista A2,6.375,8
2039648,Jean Paul Angulo Quiñonez,Colombia 2 Div,6.366666666666667,3
1807595,Michell Perez,Colombia 2 Div,6.3428571428571425,7
2454247,Magrão,Carioca,6.3,1
2026934,Leonardo Souza de Oliveira,Paulista A2,6.3,1
2428433,Arthur Izaque,Carioca,6.283333333333334,6
1902433,Néstor Camilo Durán Rueda,Colombia 2 Div,6.279999999999999,5
2033845,Daniel Bolt,Paulista A2,6.199999999999999,2
2463605,Cauã Mendes,Carioca,6.166666666666667,3
1637198,Flavio dos Reis Frazão,Paulista A2,6.15,2
1799269,Cauã Coutinho,Carioca,6.1499999999999995,6
2185481,Marquinhos,Carioca,6.0,4
1631591,Matheus Henrique Rocha,Paulista A2,5.8,1
