player_id,player_name,shirt_number,position,substitute,date_of_birth,date_of_birth_formatted,team,opponent,team_id,opponent_id,home_away,match_id,match_date,liga,peso_liga,minutes_played,rating,goals,assists,birth_year,age,is_u23
1066548,Alexis Alvarino,22.0,D,False,980985600.0,01/02/2001,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,77,6.0,0,0,2001,25,False
1476558,Dantas,25.0,D,False,1090713600.0,25/07/2004,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,90,6.2,0,0,2004,22,True
1148340,Patrick,4.0,D,False,923616000.0,09/04/1999,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,90,6.7,0,0,1999,27,False
944459,Mayk Silva,77.0,D,False,936057600.0,31/08/1999,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,90,6.8,0,0,1999,27,False
922570,Luís Oyama,6.0,M,False,854582400.0,30/01/1997,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,88,6.9,0,0,1997,29,False
1101061,Leo Naldi,18.0,M,False,998092800.0,18/08/2001,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,90,6.8,0,0,2001,25,False
981746,Matheus Bianqui,17.0,M,False,886204800.0,31/01/1998,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,77,7.3,1,0,1998,28,False
1105078,Rômulo,10.0,M,False,1002412800.0,07/10/2001,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,81,6.1,0,0,2001,25,False
990160,Vinicius Paiva,16.0,M,False,983404800.0,01/03/2001,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,81,6.2,0,0,2001,25,False
850987,Robson,11.0,F,False,675561600.0,30/05/1991,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,90,6.1,0,0,1991,35,False
2440201,Alemão,21.0,D,True,1188691200.0,02/09/2007,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,13,7.1,0,0,2007,19,True
606612,Nicolas Careca,30.0,F,True,863913600.0,18/05/1997,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,13,7.0,0,0,1997,29,False
1836636,Tavinho,15.0,F,True,1090195200.0,19/07/2004,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,9,6.7,0,0,2004,22,True
293235,Christian Ortíz,8.0,F,True,714355200.0,21/08/1992,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,9,6.6,0,0,1992,34,False
1016874,Juninho,50.0,M,True,980208000.0,23/01/2001,Grêmio Novorizontino,Palmeiras,135514,1963,home,15646622,09/03/2026,Paulista A1,0.9,9,6.5,0,0,2001,25,False
973738,Carlos Miguel,1.0,G,False,907891200.0,09/10/1998,Palmeiras,Grêmio Novorizontino,1963,135514,away,15646622,09/03/2026,Paulista A1,0.9,90,5.7,0,0,1998,28,False
984896,Khellven,12.0,D,False,983059200.0,25/02/2001,Palmeiras,Grêmio Novorizontino,1963,135514,away,15646622,09/03/2026,Paulista A1,0.9,90,6.7,0,0,2001,25,False
