player_id,player_name,shirt_number,position,substitute,date_of_birth,date_of_birth_formatted,team,opponent,team_id,opponent_id,home_away,match_id,match_date,liga,peso_liga,minutes_played,rating,goals,assists,birth_year,age,is_u23,reap
833742,Nilson Castrillón,20.0,D,True,28/01/1996,28/01/1996,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,away,15645747,05/03/2026,Paulista A1,0.9,1,0.0,0,0,1996,30,False,0.0
794840,Jordi,93.0,G,False,03/09/1993,03/09/1993,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,90,5.6,0,0,1993,33,False,0.0
1066548,Alexis Alvarino,22.0,D,False,01/02/2001,01/02/2001,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,77,6.0,0,0,2001,25,False,0.0
1476558,Dantas,25.0,D,False,25/07/2004,25/07/2004,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,90,6.2,0,0,2004,22,True,0.0
1148340,Patrick,4.0,D,False,09/04/1999,09/04/1999,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,90,6.7,0,0,1999,27,False,0.0
944459,Mayk Silva,77.0,D,False,31/08/1999,31/08/1999,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,90,6.8,0,0,1999,27,False,0.0
922570,Luís Oyama,6.0,M,False,30/01/1997,30/01/1997,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,88,6.9,0,0,1997,29,False,0.0
1101061,Leo Naldi,18.0,M,False,18/08/2001,18/08/2001,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,90,6.8,0,0,2001,25,False,0.0
981746,Matheus Bianqui,17.0,M,False,31/01/1998,31/01/1998,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,77,7.3,1,0,1998,28,False,0.0
1105078,Rômulo,10.0,M,False,07/10/2001,07/10/2001,Grêmio Novorizontino,Palmeiras,135514.0,1963.0,home,15646622,09/03/2026,Paulista A1,0.9,81,6.1,0,0,2001,25,False,0.0
