match_id,partido,liga,peso_liga,match_date,home_team_id,away_team_id,n_u23,densidad_u23,minutos_u23,rating_promedio_u23,tiene_rating,mps,formula_usada,z_score,percentil_zscore,prioridad,z_score_grupo,grupo_zscore,percentil_zscore_grupo
15608566,Novo Hamburgo vs São Luiz,Gaúcho,0.85,07/03/2026,480376.0,32768.0,1,0.091,64,6.9,True,4.22,CON_RATING,-0.9570012201918608,19.230769230769234,BAJA,-0.6737359451348943,Resto CON rating,27.5
15415176,Independiente Yumbo vs Bogotá FC,Colombia 2 Div,0.6,05/03/2026,1166437.0,89352.0,8,0.727,708,6.94,True,6.92,CON_RATING,0.9295696005757618,80.76923076923077,BAJA,-0.7298481836561149,Colombia CON rating,25.5
15512222,Portuguesa-RJ vs Sampaio Corrêa-RJ,Carioca,0.85,03/03/2026,208067.0,257632.0,1,0.091,90,6.4,True,4.07,CON_RATING,-1.061810710234506,17.307692307692307,BAJA,-0.8299725149993731,Resto CON rating,23.5
15592406,Ivinhema vs Volta Redonda,Copa Brasil,0.75,05/03/2026,34000.0,6982.0,2,0.182,157,0.0,False,3.52,SIN_RATING,-0.8898461988892109,23.076923076923077,BAJA,-0.9081954736807176,SIN rating,21.599999999999994
15566110,Portuguesa-RJ vs Maracanã,Copa Brasil,0.75,05/03/2026,208067.0,87156.0,2,0.182,151,0.0,False,3.52,SIN_RATING,-0.8898461988892109,23.076923076923077,BAJA,-0.9081954736807176,SIN rating,19.599999999999994
15592409,América Mineiro vs Tirol/CEFAT,Copa Brasil,0.75,05/03/2026,1973.0,398170.0,2,0.182,157,0.0,False,3.52,SIN_RATING,-0.8898461988892109,23.076923076923077,BAJA,-0.9081954736807176,SIN rating,17.599999999999994
15643465,North EC vs União Recreativa dos Trabalhadores,Mineiro,0.78,07/03/2026,465989.0,35278.0,1,0.091,90,6.3,True,3.9,CON_RATING,-1.1805947989495047,15.384615384615383,BAJA,-1.00704062751245,Resto CON rating,15.700000000000003
15180163,Taubaté vs Grêmio Prudente,Paulista A2,0.65,07/03/2026,135512.0,252408.0,1,0.091,75,6.5,True,3.7,CON_RATING,-1.320340785673032,13.461538461538462,BAJA,-1.2153560539984218,Resto CON rating,13.700000000000003
15180173,São José EC vs Sertãozinho,Paulista A2,0.65,07/03/2026,88744.0,6958.0,1,0.091,90,6.3,True,3.64,CON_RATING,-1.3622645816900905,11.538461538461538,BAJA,-1.2778506819442137,Resto CON rating,11.799999999999997
15512233,Portuguesa-RJ vs Maricá FC,Carioca,0.85,08/03/2026,208067.0,288535.0,1,0.091,90,4.9,True,3.62,CON_RATING,-1.3762391803624432,9.615384615384617,BAJA,-1.298682224592811,Resto CON rating,9.799999999999997
15625739,Betim Futebol vs Operário-PR,Copa Brasil,0.75,04/03/2026,368413.0,39634.0,1,0.091,90,0.0,False,2.89,SIN_RATING,-1.4149521424075724,4.807692307692308,BAJA,-1.4441294830651799,SIN rating,7.799999999999997
15592343,CRB vs Porto SC,Copa Brasil,0.75,04/03/2026,22032.0,516524.0,1,0.091,65,0.0,False,2.89,SIN_RATING,-1.4149521424075724,4.807692307692308,BAJA,-1.4441294830651799,SIN rating,5.900000000000006
15566116,Desportiva Ferroviária vs Sport Recife,Copa Brasil,0.75,05/03/2026,34011.0,1959.0,1,0.091,90,0.0,False,2.89,SIN_RATING,-1.4149521424075724,4.807692307692308,BAJA,-1.4441294830651799,SIN rating,3.9000000000000057
15573846,Trem vs Fluminense-PI,Copa Brasil,0.75,05/03/2026,21865.0,375317.0,1,0.091,67,0.0,False,2.89,SIN_RATING,-1.4149521424075724,4.807692307692308,BAJA,-1.4441294830651799,SIN rating,2.0
15415175,Real Santander vs Deportes Quindío,Colombia 2 Div,0.6,05/03/2026,89358.0,6110.0,7,0.636,587,6.59,True,6.36,CON_RATING,0.5382808377498848,65.38461538461539,BAJA,-1.788009951545885,Colombia CON rating,0.0
