player_id,player_name,team_name,liga,birth_year,date_of_birth,rating_promedio,partidos_total
2440893,João Damião,Ponte Preta,Paulista A1,2008,26/09/2008,6.42,5
1589293,Luan,Anapolina,Baiano,2004,04/12/2004,6.42,5
1882409,Murilo Camargo,Athletico U17,Paranaense,2009,20/02/2009,6.4,1
1185617,Alexsander,Atlético Mineiro,Mineiro,2003,08/10/2003,6.4,2
1828961,Felipe de Souza Januário,Botafogo U17,Carioca,2007,03/05/2007,6.4,2
1588301,Gabriel de Lima,Independente de Limeira,Baiano,2003,23/07/2003,6.4,2
1174621,Benassi,Coritiba,Paranaense,2003,17/12/2003,6.4,2
1631402,Renan Gustavo Ribeiro Moreira,Itabirito FC,Mineiro,2005,16/02/2005,6.4,1
1466535,Lucas Fogaça,Ypiranga FC,Gaúcho,2005,23/12/2005,6.4,1
1633881,Deivid da Silva Santos,Portuguesa,Paulista A2,2004,19/12/2004,6.4,2
1633885,Diego Gomes Clemente,Galo Maringá,Paranaense,2004,27/01/2004,6.4,4
2456434,Ryan,Pouso Alegre FC,Mineiro,2003,21/06/2003,6.4,2
1904873,Cristian Yesid Holguín Lora,Leones FC,Colombia 2 Div,2004,08/07/2004,6.4,2
1485280,Kauan Silva Sales,Monte Azul,Paulista A2,2003,23/10/2003,6.4,1
2441007,Ruan Nunes,Inter de Santa Maria,Gaúcho,2008,26/05/2008,6.4,1
1587947,Matheus Grecco Ribeiro,Novo Hamburgo,Gaúcho,2004,14/05/2004,6.4,1
2441811,Thiago Ferreira Santos,Galícia,Baiano,2006,01/01/2006,6.4,1
2205975,Neider Parra,Atlético Nacional,Colombia 2 Div,2005,30/04/2005,6.4,1
1634178,Giovani Alvisi,União Barbarense,Paranaense,2003,24/01/2003,6.4,1
2441840,Nicolás Ernesto Hernández Pinilla,Atlético Bucaramanga,Colombia 2 Div,2004,02/10/2004,6.4,1
2228207,Farid Camilo Tamayo Mosquera,Real Cartagena U20,Colombia 2 Div,2007,25/10/2007,6.4,1
2452200,Javier Eder Torres,Orsomarso SC,Colombia 2 Div,2009,24/10/2009,6.4,4
2441006,Inácio,Inter de Santa Maria,Gaúcho,2006,15/05/2006,6.4,5
1590246,Caick,Athletic Club U20,Mineiro,2005,29/12/2005,6.4,1
1588234,Wellington Silva,No team,Paranaense,2005,04/01/2005,6.3999999999999995,3
1473192,João Andrade,Bahia U20,Baiano,2006,15/06/2006,6.3999999999999995,3
1807875,"Gustavo Amaro Machado ""Guru""",Cascavel,Paranaense,2006,18/05/2006,6.3999999999999995,3
1906023,Felix Mosquera Ramírez,Boca Juniors de Cali,Colombia 2 Div,2006,24/07/2006,6.3999999999999995,3
1467773,Gustavo Lacerda,Sertãozinho,Paulista A2,2004,06/10/2004,6.3999999999999995,7
1536246,Juan Pablo Aristizábal,Envigado FC,Colombia 2 Div,2005,10/09/2005,6.375,4
1890696,Alisson Rodrigues de Melo,Internacional U17,Gaúcho,2008,31/07/2008,6.375,4
2426302,Glaucon,Votuporanguense U20,Paulista A2,2006,02/04/2006,6.375,4
2420828,Fabio  Santos Nascimento,Jabaquara,Paulista A2,2004,02/08/2004,6.375,8
2035930,Luiz Felipe,Tombense,Mineiro,2004,04/12/2004,6.371428571428572,7
2039648,Jean Paul Angulo Quiñonez,Patriotas Boyacá,Colombia 2 Div,2005,11/10/2005,6.366666666666667,3
2206039,Yull Preciado,Independiente Yumbo,Colombia 2 Div,2005,15/04/2005,6.366666666666667,3
2282985,Kadir Barría,Botafogo,Carioca,2007,18/07/2007,6.366666666666667,3
1602833,João Victor,Flamengo U20,Carioca,2007,02/01/2007,6.366666666666667,3
1883363,Ryan Roberto,Flamengo U17,Carioca,2008,05/03/2008,6.35,2
1589464,João Pedro Santos Oliveira,Nacional-PR,Paranaense,2005,01/12/2005,6.35,2
1884816,Wallace Davi,Botafogo,Carioca,2007,10/05/2007,6.35,2
1639122,Pedro Lima,Porto SC,Baiano,2003,20/01/2003,6.35,8
1647651,Mateus Henrique Cardoso da Silva,CA Linense,Paulista A2,2005,13/06/2005,6.35,2
1495892,Ruan Lucas de Assis,Athletic Club,Mineiro,2004,20/04/2004,6.35,4
1587854,Alex Moretti,Portuguesa-RJ,Carioca,2003,25/09/2003,6.35,4
2124404,João Lopes,Olímpia FC,Paulista A2,2005,08/01/2005,6.35,2
2442922,João Valença,Volta Redonda,Carioca,2006,26/04/2006,6.35,2
2030392,Luizão,Azuriz,Paranaense,2006,27/01/2006,6.35,2
1888163,Raykkonen Pereira Soares,Internacional U17,Gaúcho,2008,13/07/2008,6.35,2
1807595,Michell Perez,Deportes Tolima,Colombia 2 Div,2004,19/12/2004,6.3428571428571425,7
1462224,Léo Herrero,Cascavel,Paranaense,2004,10/04/2004,6.333333333333333,3
1516708,Kauan Rodrigues,Athletic Club,Mineiro,2005,16/04/2005,6.333333333333333,3
1634167,Arthur Fernandes,EC Santo André,Paulista A2,2003,19/06/2003,6.32,5
1633901,Felipe Freitas  Laurindo,Cianorte,Paranaense,2005,18/01/2005,6.300000000000001,2
