Nombre	 País	 Equipo	 Categoría	 Edad	 Año	 Altura	 ELO	 Max. ELO	 REAP	 +/- ELO (1 año)	 Potencial	 Fin Contrato	 Valor de mercado	 Agente	 Position principal	 PJ Temporada Actual	 Min Temporada Actual	 Año	 Minutos
 A. Arias	 Argentina	 Dock Sud	 Primera B	 22	 04	 183	 44	 50	 1.19	 -1	 56	 2026-12-31	 0.146	 B2B Group SA	 ST	 4	 294	 2004	 90	 
 S. Fabi	 Argentina	 Villa San Carlos	 Primera B	 20	 05	 -	 26	 29	 0.73	 -	 42	 2026-12-31	 0.001	 -	 CB	 3	 167	 2005	 46	 
 T. Ponzo	 Argentina	 Villa Dálmine	 Primera B	 21	 04	 -	 54	 54	 1.27	 11	 66	 -	 0.038	 -	 LM	 4	 355	 2004	 88	 
 B. Guayquinao	 Argentina	 Brown Adrogué	 Primera B	 21	 04	 -	 26	 26	 0.70	 -	 35	 2027-12-31	 0.002	 -	 CM	 4	 173	 2004	 20	 
 D. Maguicha	 Argentina	 Deportivo Merlo	 Primera B	 22	 03	 -	 48	 49	 1.09	 5	 59	 2025-12-31	 0.076	 -	 LW	 4	 317	 2003	 90	 
 F. Farías	 Argentina	 Villa San Carlos	 Primera B	 21	 04	 169	 32	 33	 0.76	 -1	 47	 2027-12-31	 0.001	 AREA SPORT TEAM	 RB	 3	 97	 2004	 5	 
 Joaquin Cesar	 Argentina	 Real Pilar	 Primera B	 20	 05	 177	 36	 36	 0.99	 5	 49	 -	 0.001	 -	 DM	 2	 53	 2005	 25	 
 G. Fernández	 Argentina	 Liniers	 Primera B	 22	 03	 167	 40	 41	 0.91	 3	 51	 -	 0.033	 Ala Sur 	 RM	 4	 264	 2003	 75	 
 M. Polizzotto	 Argentina	 UAI Urquiza	 Primera B	 22	 03	 172	 38	 40	 0.93	 1	 49	 2025-12-31	 0.046	 -	 CAM	 4	 260	 2003	 46	 
 M. Solís	 Argentina	 Villa Dálmine	 Primera B	 20	 05	 171	 48	 48	 1.36	 6	 63	 -	 0.082	 -	 CM	 4	 360	 2005	 90	 
 B. González	 Argentina	 Flandria	 Primera B	 22	 04	 -	 43	 44	 0.98	 3	 52	 -	 0.055	 -	 RM	 4	 222	 2004	 72	 
 F. Camejo	 Argentina	 Liniers	 Primera B	 22	 03	 -	 52	 52	 1.33	 14	 63	 2026-12-31	 0.026	 -	 ST	 3	 206	 2003	 31	 
