player_id,player_name,shirt_number,position,substitute,date_of_birth,team,opponent,team_id,opponent_id,home_away,match_id,match_date,liga,peso_liga,minutes_played,rating,goals,assists,birth_year,age,is_u23
789424,Tomas Bolzicco,20,M,True,786067200,Chaco For Ever,Los Andes,252726,112497,away,15275507,05/04/2026,Primera B Argentina,0.85,7,6.6,0,0,1994,32,False
155696,Bruno Galvan,1,G,False,768355200,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,90,6.7,0,0,1994,32,False
932094,Marcos Abreliano,7,D,False,892080000,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,76,6.9,0,0,1998,28,False
1627950,Enzo Cardozo,2,D,False,1128384000,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,90,6.6,0,0,2005,21,True
22986,Gustavo Cabral,6,D,False,498096000,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,90,6.9,0,0,1985,41,False
2189070,Nelson Gerardo Alegre Rojas,4,D,False,,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,90,7.6,0,0,0,0,False
1093120,Tomas Villoldo,3,D,False,809568000,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,67,6.9,0,0,1995,31,False
1597465,Gabriel Martiniano Altamirano,5,M,False,992995200,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,55,7.0,0,0,2001,25,False
1819311,Leandro Iglesias,10,M,False,979689600,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,90,7.8,0,0,2001,25,False
340731,Facundo Quignon,8,M,False,736300800,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,67,6.5,0,0,1993,33,False
1393522,Ramón González,11,F,False,1017446400,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,90,6.2,0,0,2002,24,False
976095,Santiago Vera,9,F,False,913420800,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,55,6.6,0,0,1998,28,False
1537840,Santiago Gauna,16,M,True,1049500800,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,35,7.3,0,0,2003,23,True
1104656,Javier Ezequiel Martínez,17,F,True,911606400,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,35,6.6,0,0,1998,28,False
1084973,Matías Belloso,18,D,True,950659200,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,23,6.5,0,0,2000,26,False
1017173,Tobías Zárate,20,M,True,962928000,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,23,6.5,0,0,2000,26,False
1649338,Tomás Almada,19,M,True,1012435200,Almirante Brown,Defensores de Belgrano,43740,52215,home,15275503,05/04/2026,Primera B Argentina,0.85,14,6.5,0,0,2002,24,False
941532,Alejandro Medina,1,G,False,540259200,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,90,7.7,0,0,1987,39,False
1213804,Diego Magallanes,4,D,False,859766400,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,90,6.9,0,0,1997,29,False
932870,Alan Perez,2,D,False,672105600,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,90,7.6,0,0,1991,35,False
1468729,Gonzalo Gamarra,6,D,False,866160000,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,90,6.7,0,0,1997,29,False
1863115,Ián Ariel Pérez,3,D,False,926467200,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,90,6.9,0,0,1999,27,False
933172,Juan De Tomasso,8,M,False,741398400,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,90,7.3,0,0,1993,33,False
1182905,Agustín Benítez,10,M,False,939600000,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,78,6.8,0,0,1999,27,False
1469419,Ignacio Gutierrez,5,M,False,1022112000,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,83,6.5,0,0,2002,24,False
1506776,Patricio Moyano,7,M,False,1057276800,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,74,6.9,0,1,2003,23,True
1126363,Jonathan Dellarossa,11,F,False,948153600,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,74,6.5,0,0,2000,26,False
1887188,Enzo Gonzalez,9,F,False,969840000,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,83,7.0,1,0,2000,26,False
896937,Leandro CiccolIini,17,M,True,798508800,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,16,6.4,0,0,1995,31,False
1654474,Francisco Tcherkaski,19,F,True,1127174400,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,16,7.5,1,0,2005,21,True
289773,Luis Jérez,15,M,True,603936000,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,12,6.4,0,0,1989,37,False
1125078,Nicolás Vaquer,13,D,True,1049414400,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,7,6.3,0,0,2003,23,True
249357,Diego Garcia,18,F,True,519696000,Defensores de Belgrano,Almirante Brown,52215,43740,away,15275503,05/04/2026,Primera B Argentina,0.85,7,6.5,0,0,1986,40,False
895215,Julio Salvá,1,G,False,548294400,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,90,7.2,0,0,1987,39,False
1001815,Elias Contreras,4,D,False,857692800,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,67,6.8,0,0,1997,29,False
871794,Braian Salvareschi,2,D,False,923961600,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,90,7.1,0,0,1999,27,False
1485215,Franco Vázquez,6,D,False,1104624000,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,90,6.7,0,0,2005,21,True
2035699,Joaquín Livera,3,D,False,936230400,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,90,6.8,0,0,1999,27,False
1597474,Santiago Kubiszyn,8,M,False,1032652800,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,61,7.3,0,0,2002,24,False
949675,Mauro Burruchaga,5,M,False,898905600,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,90,6.9,0,0,1998,28,False
585954,Juan Manuel Olivares,10,M,False,584841600,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,84,7.8,1,0,1988,38,False
129517,Mariano Bittolo,11,M,False,640915200,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,67,7.1,0,0,1990,36,False
2229943,Ezequiel David Bulacio,9,F,False,1010793600,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,90,7.2,0,0,2002,24,False
1502092,Franco Fagundez,7,F,False,913593600,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,67,6.7,0,0,1998,28,False
1905997,Tomás Ariel Ramírez,20,M,True,1071792000,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,29,6.8,0,0,2003,23,True
192414,Gastón González,18,M,True,572572800,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,23,6.6,0,0,1988,38,False
1485213,Facundo Báez,19,F,True,1078272000,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,23,6.6,0,0,2004,22,True
1003008,Alexis Francisco Flores,14,D,True,1010707200,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,23,6.9,0,0,2002,24,False
581778,Maximiliano González,15,M,True,763430400,Deportivo Morón,San Telmo,93109,213361,home,15275509,05/04/2026,Primera B Argentina,0.85,6,6.6,0,0,1994,32,False
1800221,Joaquín Conrado Enrico,1,G,False,998438400,San Telmo,Deportivo Morón,213361,93109,away,15275509,05/04/2026,Primera B Argentina,0.85,90,7.1,0,0,2001,25,False
2044361,Juan Motroni,7,D,False,914976000,San Telmo,Deportivo Morón,213361,93109,away,15275509,05/04/2026,Primera B Argentina,0.85,90,6.3,0,0,1998,28,False
1490981,Leonel Pollacchi,2,D,False,946684800,San Telmo,Deportivo Morón,213361,93109,away,15275509,05/04/2026,Primera B Argentina,0.85,90,5.7,0,0,2000,26,False
